planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes
"Kepler-392 c",Kepler392c;Kepler392,10.423118,8.7E-05,2454968.15286,0.00501,2.266,0.153,0.0825,0.0074,0.008552,0.000455,0.07313670400000001,20.41,9.5,87.72,,0,,,,5938,226,4.323,0.15,-0.4362,0.017,288.660826,43.3681938,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-393 b",Kepler393b;Kepler393,9.182417,9.6E-05,2454967.04813,0.0056,4.343,0.17,0.0847,0.0046,0.008635,0.0002945,0.07456322500000001,7.67,0.38,89.07,,0,,,,6189,100,4.233,0.15,0.0322,0.0223,290.995205,45.192188,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-393 c",Kepler393c;Kepler393,14.613612,0.000231,2454973.4124,0.00736,5.401,0.191,0.0746,0.0049,0.008003,0.000325,0.064048009,10.45,0.52,89.77,,0,,,,6189,100,4.233,0.15,0.0322,0.0223,290.995205,45.192188,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-394 b",Kepler394b;Kepler394,8.005013,9E-05,2454971.71069,0.00687,3.419,0.246,0.1875,0.0132,0.012616,0.0005629999999999999,0.159163456,18.64,1.1,89.83,,0,,,,6402,200,4.408,0.3,-0.3,0.04,296.3019792,50.6723115,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-394 c",Kepler394c;Kepler394,12.130686,0.00018,2454972.89729,0.00918,3.819,0.243,0.2112,0.0151,0.013392,0.000586,0.17934566399999996,24.36,1.9,89.8,,0,,,,6402,200,4.408,0.3,-0.3,0.04,296.3019792,50.6723115,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-394 d",Kepler394d;Kepler394,5.613580227,,2454964.81669,0.0054,2.95,0.144,0.1623,0.0117,0.011749,0.000526,0.138039001,14.84,2,89.54,,0,,,,6398,190.5,4.411,0.133,-0.14,0.275,296.3019792,50.6723115,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-395 b",Kepler395b;Kepler395,7.054346,7E-05,2454969.19136,0.00566,1.909,0.197,0.423,0.033,0.0198,0.000925,0.39204000000000006,23.3,0.43,88.36,0.07039500000000001,0,,,,4262,100,4.729,0.15,-0.02,0.09,293.5111889,45.1366252,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-395 c",Kepler395c;Kepler395,34.989262,0.000543,2454977.22265,0.00909,4.459,0.264,0.593,0.044000000000000004,0.02259,0.00083,0.5103080999999999,67.77,1.26,89.96,0.03965,0,,,,4262,100,4.729,0.15,-0.02,0.09,293.5111889,45.1366252,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-396 b",Kepler396b;Kepler396,42.994,,2454995.498417,0.00079,4.6011,0.0398,1.1081,0.0088,0.030168,0.00042699999999999997,0.910108224,72.95,1,89.34,,0,,,,5656,60,4.32,0.20500000000000002,0.1558,0.0136,296.1328135,48.9773095,JD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-396 c",Kepler396c;Kepler396,88.505,,2455015.65259,0.00078,7.4072,0.0868,2.6364,0.0107,0.052424,0.0005995,2.748275776,96.1,1.1,90,0.02,0,,,,5656,60,4.32,0.20500000000000002,0.1558,0.0136,296.1328135,48.9773095,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
