planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes,catalogue_type,depth_source,rprs_source,geometry_source,stellar_source,exoclock_priority,exoclock_total_observations,exoclock_recent_observations,exoclock_current_oc_min,exoclock_min_telescope_inches,v_mag,r_mag,gaia_g_mag
HD63935c,HD63935c,21.400569,9.5e-05,2459617.039,0.0024,4.84,,0.7733693868681168,,0.0277,,0.7733693868681168,24.1,,88.241,,0.0,,90.0,,5534.0,,4.38,,,,117.92498541666667,9.38605361111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,5.0,,0.0,36.25,8.58,8.1,8.394
HD73583b,HD73583b,6.398058,3.6e-06,2459035.93282,0.00036,2.23,,1.7208512841241363,,0.03932,,1.7208512841241363,19.98,,88.37,,0.09,,90.0,,4511.0,,4.62,,,,129.68858458333335,-13.256692222222222,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,alert,8.0,,-11.35,21.21,9.63,9.001,9.27
HD73583c,HD73583c,18.879323,6.1e-05,2459779.6682,0.0012,3.74,,1.4541754395360762,,0.03368,,1.4541754395360762,41.1,,89.72,,0.08,,90.0,,4511.0,,4.62,,,,129.68858458333335,-13.256692222222222,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,4.0,,0.0,22.57,9.63,9.001,9.27
HD80606b,HD80606b,111.4367,0.0004,2455210.6428,0.001,11.89,,9.469164027514632,,0.1001,,9.469164027514632,97.0,,89.269,,0.933,,90.0,,5574.0,,4.46,,,,140.65657041666665,50.60373166666667,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,4.0,,0.0,5.0,9.0,8.586,8.82
HD86226c,HD86226c,3.9846542,2.8e-06,2459172.82934,0.00044,2.45,,0.4235859192533997,,0.01987,,0.4235859192533997,10.11,,86.45,,0.075,,90.0,,5863.0,,4.4,,,,149.12435041666666,-24.0993875,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,16.0,,0.0,72.08,7.93,7.71,7.771
HD89345b,HD89345b,11.814414,2e-05,2459107.058,0.0012,5.62,,1.619706762340356,,0.0378,,1.619706762340356,14.68,,87.9,,0.2,,90.0,,5499.0,,4.04,,,,154.6710741666667,10.12902888888889,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,11.0,,0.0,19.0,9.38,8.984,9.217
HD93963Ac,HD93963Ac,3.6451455,4.8e-06,2459168.96823,0.00042,2.27,,0.8653973225268841,,0.02838,,0.8653973225268841,9.92,,86.31,,0.0,,90.0,,5987.0,,4.49,,,,162.77714,25.64116361111111,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,14.0,,0.0,40.91,9.18,8.821,9.034
HD97658b,HD97658b,9.4893038,1.4e-06,2457386.651753,9.6e-05,2.84,,1.2150261863289602,,0.0311,,1.2150261863289602,26.2,,89.8,,0.0,,90.0,,5170.0,,4.63,,,,168.63817208333333,25.71038638888889,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,26.0,,0.0,23.39,7.714,7.259,7.514
HIP113103b,HIP113103b,7.610303,1.8e-05,2458325.5966,0.0033,2.16,,0.6261070584182571,,0.0242,,0.6261070584182571,21.39,,88.23,,0.17,,90.0,,4930.0,,4.6,,,,343.5723675,-43.01034694444444,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,2.0,,0.0,62.08,9.9,9.354,9.618
HIP113103c,HIP113103c,14.245648,1.9e-05,2458337.0559,0.0019,3.54,,1.077029410560315,,0.0303,,1.077029410560315,32.49,,89.24,,0.17,,90.0,,4930.0,,4.6,,,,343.5723675,-43.01034694444444,BJD_TDB,ExoClock planets_json pure,Generated 2026-06-23 19:18:05 UTC with tools/build_exoplanet_catalog_from_exoclock.py; pure ExoClock row; no NASA supplement applied by default; all depths are stored in relative-flux ppt for ExoPhotoCurve. Depth source: ExoClock:depth_r_mmag converted mmag to flux ppt. Rp/Rs source: ExoClock:rp_over_rs. Geometry source: ExoClock JSON.,ExoClock pure,ExoClock:depth_r_mmag converted mmag to flux ppt,ExoClock:rp_over_rs,ExoClock JSON,ExoClock JSON,high,2.0,,0.0,32.53,9.9,9.354,9.618
